channelId,channelName,umbrellaLabel,score,margin,top3
UCQGv_dy-oLeu5SSgz2_8i8w,"Project Diaries","Unclassified",0.0462,0.0125,"AI:0.046|Gardening:0.034|Video Editing:0.024"
UC2rzsm1Qi6N1X-wuOg_p0Ng,"Project Farm","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCX6c6hTIqcphjMsXbeanJ1g,"Prompt Engineer","Unclassified",0.1035,0.0409,"Tech:0.104|AI:0.063|News:0.041"
UCNB_pp1iJiEDvTxO5wENMZA,"Puddle Of Mudd TV","Unclassified",0.1685,0.0503,"Business:0.169|Music:0.118|AI:0.000"
UCK5-hzSvMAPSSo2vH_LtNKw,"Quazi Johir","Unclassified",0.0634,0.0338,"3D Printing:0.063|Video Editing:0.030|AI:0.029"
UC3uCNdbm9RZb3F_KZKX5u4w,"Rainbow Gardens","Unclassified",0.0261,0.0261,"Film & TV:0.026|AI:0.000|Video Editing:0.000"
UC15W5y0lGyZD7DNIW_VmnyA,"Raiv Creative","Unclassified",0.0928,0.0227,"Video Editing:0.093|Film & TV:0.070|Construction:0.054"
UCpJ7ZS8hK-IOeciv952Xhug,"Really American","Unclassified",0.0471,0.0041,"News:0.047|Construction:0.043|Video Editing:0.000"
UCblfuW_4rakIf2h6aqANefA,"Red Bull","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCV6hWxB0-u_IX7e-h4fEBAw,"Reed Timmer","Unclassified",0.0375,0.0079,"Comedy:0.038|Aviation:0.030|News:0.027"
UCjIrqdXaUzYEEAIib8bsBrw,"ReelinInTheYears66","Unclassified",0.0369,0.0024,"Film & TV:0.037|Aviation:0.035|Gaming:0.031"
UCCD_GyqAJ2w5UpH9R4yIEjw,"Reinhardt Buhr","Unclassified",0.1021,0.0148,"Music:0.102|Business:0.087|Tech:0.049"
UCif0FLmduEgE0i6ApPOf6IQ,"RemotePilot101","Unclassified (sparse)",0,0,""
UCLBHPoY3NugnZYURxln3fKQ,"Rene Ritchie","Unclassified",0.0833,0.0833,"Construction:0.083|AI:0.000|Video Editing:0.000"
UCCJ56k8nBeqWLoxNa6DToAQ,"Rhett Shull","Unclassified",0.0605,0.0605,"Film & TV:0.061|Video Editing:0.000|Photography:0.000"
UCxp6k6RQ2oP6EmP0W5_J7-g,"RichardTaylorTV","Video Editing",0.7041,0.6396,"Video Editing:0.704|Business:0.065|Gaming:0.065"
UCJquYOG5EL82sKTfH9aMA9Q,"Rick Beato","Unclassified (sparse)",0,0,""
UCcp-HjtmTMeIJ-0RrSHSGLA,"Rick Beato 2","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCmNAkARqTFvNoyxmFhKTS9Q,"Rick Mulready","Unclassified",0.0416,0.0092,"AI:0.042|Film & TV:0.032|Business:0.027"
UC-Qy-4esLdXmO1F6k5kz0Qg,"Ripple Training","Video Editing",1.185,1.1596,"Video Editing:1.185|Film & TV:0.025|Business:0.021"
UC5UbM7c9BhNBto3_zDcdr4w,"RMNS Channel","Unclassified",0.1138,0.0888,"Construction:0.114|Business:0.025|Gaming:0.025"
UC0FBv8ckxw1hrZxbUm3G7hA,"Rob The AI Guy","Unclassified",0.0598,0.0063,"Aviation:0.060|Business:0.053|Construction:0.049"
UCuR8L5fK6ZXyApcL7vMcv0g,"Robert Benjamin","Unclassified",0.0449,0.0449,"Coding:0.045|AI:0.000|Video Editing:0.000"
UCpVqUbp1Q3LPlOg4DG6F6pQ,"Ronny Jordan - Topic","Unclassified",0.1127,0.0716,"Construction:0.113|Gaming:0.041|AI:0.000"
UCCLD2QUYsDuHdBkQp10Yy0w,"RUHM","Unclassified",0.1105,0.0775,"Business:0.111|Film & TV:0.033|Home Repair:0.026"
UC5C-Asy_myoWCkLEtZR72SA,"Rush","Unclassified (sparse)",0,0,""
UCJU1nWTl6sC_KaXgkqcnBnA,"RV Pastor Kevin","Unclassified (sparse)",0,0,""
UCNl2ziy9FwESuahXMyfCRVA,"RV Tips & Travels","Unclassified",0.065,0.0028,"Photography:0.065|Construction:0.062|Film & TV:0.041"
UCy4vTBzImDfSEQejeWt-xVA,"RVstreet","Unclassified",0.025,0.025,"Photography:0.025|AI:0.000|Video Editing:0.000"
UCJHAT3Uvv-g3I8H3GhHWV7w,"Ryan Hall, Y'all","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
